gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	direction	significance
ATG10	0.144554392014441	3.83063600372538	0.511870678666414	0.61823863380389	0.892666842582208	-5.77005308545902	up_in_PH	not_FDR_significant
RHOBTB3	0.134234382626136	8.32462338905835	0.511585066155525	0.618371686569793	0.892785447011028	-5.77025305832465	up_in_PH	not_FDR_significant
TMEM176A	0.170053570702014	7.48731572378319	0.511541410428613	0.618401323477731	0.892785447011028	-5.7702749788533	up_in_PH	not_FDR_significant
ARHGEF40	0.27824513824513	6.42321130733825	0.511410396082767	0.618551033928616	0.892898723804455	-5.77028431988971	up_in_PH	not_FDR_significant
CES2	-0.118095053198375	5.79372032716454	-0.511237148601327	0.6186078996093	0.892898723804455	-5.77042770607175	down_in_PH	not_FDR_significant
CLEC18A	-0.0785402190555358	3.26555460762667	-0.511094637878639	0.618705486976354	0.892898723804455	-5.77049845043819	down_in_PH	not_FDR_significant
CLEC18C	-0.0785402190555358	3.26555460762667	-0.511094637878639	0.618705486976354	0.892898723804455	-5.77049845043819	down_in_PH	not_FDR_significant
HABP2	-0.0698366183748003	3.61437377795839	-0.51069959243732	0.618972952402559	0.892898723804455	-5.77069732591968	down_in_PH	not_FDR_significant
CACNB1	0.0793231024933436	3.52547349644777	0.510671843580068	0.618992617808512	0.892898723804455	-5.7707104769857	up_in_PH	not_FDR_significant
KIAA1191P2	-0.0442839203162357	2.82671844748056	-0.510590516696584	0.619047038397997	0.892898723804455	-5.77075200158484	down_in_PH	not_FDR_significant
OR10A5	-0.0456157603608842	3.12984909781484	-0.510541201152722	0.619080535745154	0.892898723804455	-5.77077671800104	down_in_PH	not_FDR_significant
ADAMTS16-DT	-0.0436332598291589	2.71658780436035	-0.510539524024392	0.619081674942284	0.892898723804455	-5.77077755851957	down_in_PH	not_FDR_significant
LOC101927377	-0.0394266550914097	2.24343989910614	-0.510507757445348	0.619104070784198	0.892898723804455	-5.77079271925389	down_in_PH	not_FDR_significant
SMG7-AS1	-0.0533490394340617	3.04910711133469	-0.510477465715923	0.619123829061461	0.892898723804455	-5.77080865813901	down_in_PH	not_FDR_significant
MXD3	0.0799760815066541	4.65191781007884	0.510392213622552	0.619181740248421	0.892898723804455	-5.77085137510882	up_in_PH	not_FDR_significant
ZHX2	-0.285490553228422	4.43082447362385	-0.510458856844435	0.619208476046839	0.892898723804455	-5.7707511684029	down_in_PH	not_FDR_significant
DACT2	-0.0677428396403785	4.04881410467268	-0.510297404801279	0.619246146398604	0.892898723804455	-5.77089887264479	down_in_PH	not_FDR_significant
ARMH4	-0.263459722837835	8.69732712059509	-0.510294544133553	0.619289106249104	0.892898723804455	-5.77086225317631	down_in_PH	not_FDR_significant
NOL12	-0.11829717405479	4.6909177943819	-0.510160880149738	0.619338897029847	0.892898723804455	-5.77096725428825	down_in_PH	not_FDR_significant
NIPSNAP1	-0.178712253150007	7.73861582083725	-0.510030751236705	0.619428126155136	0.892898723804455	-5.77103165831297	down_in_PH	not_FDR_significant
SHOC2	-0.249591956615019	7.85564294535792	-0.509940485991468	0.619513876701593	0.892898723804455	-5.77105420278785	down_in_PH	not_FDR_significant
IGF1	-0.377029136111072	3.68948934992785	-0.509958428057341	0.619548375125603	0.892898723804455	-5.77100191745883	down_in_PH	not_FDR_significant
UAP1L1	0.177752125774572	3.7864718020512	0.509742531667866	0.619695043783995	0.892898723804455	-5.77111002392341	up_in_PH	not_FDR_significant
SUB1	-0.353907410826087	8.91921667483578	-0.50973036215165	0.61970331162395	0.892898723804455	-5.77111611630344	down_in_PH	not_FDR_significant
LOC105371046	-0.042679919067051	2.41691287016148	-0.509558265071353	0.619749193320445	0.892898723804455	-5.77126812322092	down_in_PH	not_FDR_significant
