sample	accession	title	internal_id	cell_type	source	patient	day	replicate	bio_id
ICHseqBatch2g_B12	GSM4976093	Neutrophils from hematoma of ICH patient number 2421 on day 4 of study - replicate 2	ICHseqBatch2g_B12	Neutrophil	Hematoma	2421	4	2	Neutrophil|Hematoma|2421|4
ICHseqBatch2g_C06	GSM4976088	Neutrophils from blood of ICH patient number 2421 on day 3 of study - replicate 2	ICHseqBatch2g_C06	Neutrophil	ICHBlood	2421	3	2	Neutrophil|ICHBlood|2421|3
ICHseqBatch2g_A02	GSM4975963	Neutrophils from hematoma of ICH patient number 2375 on day 1 of study - replicate 2	ICHseqBatch2g_A02	Neutrophil	Hematoma	2375	1	2	Neutrophil|Hematoma|2375|1
ICHseqBatch2g_A11	GSM4975964	Neutrophils from blood of ICH patient number 2375 on day 2 of study - replicate 1	ICHseqBatch2g_A11	Neutrophil	ICHBlood	2375	2	1	Neutrophil|ICHBlood|2375|2
ICHseqBatch2g_C12	GSM4976125	Neutrophils from hematoma of ICH patient number 2129 on day 4 of study - replicate 1	ICHseqBatch2g_C12	Neutrophil	Hematoma	2129	4	1	Neutrophil|Hematoma|2129|4
ICHseqBatch2g_B10	GSM4976086	Neutrophils from hematoma of ICH patient number 2421 on day 2 of study - replicate 2	ICHseqBatch2g_B10	Neutrophil	Hematoma	2421	2	2	Neutrophil|Hematoma|2421|2
ICHseqBatch2g_A04	GSM4975966	Neutrophils from hematoma of ICH patient number 2375 on day 2 of study - replicate 2	ICHseqBatch2g_A04	Neutrophil	Hematoma	2375	2	2	Neutrophil|Hematoma|2375|2
ICHseqBatch2g_A03	GSM4975965	Neutrophils from hematoma of ICH patient number 2375 on day 2 of study - replicate 1	ICHseqBatch2g_A03	Neutrophil	Hematoma	2375	2	1	Neutrophil|Hematoma|2375|2
ICHseqBatch2g_C08	GSM4976118	Neutrophils from hematoma of ICH patient number 2129 on day 2 of study - replicate 1	ICHseqBatch2g_C08	Neutrophil	Hematoma	2129	2	1	Neutrophil|Hematoma|2129|2
ICHseqBatch2g_D03	GSM4976129	Neutrophils from hematoma of ICH patient number 2129 on day 5 of study - replicate 2	ICHseqBatch2g_D03	Neutrophil	Hematoma	2129	5	2	Neutrophil|Hematoma|2129|5
ICHseqBatch2g_A10	GSM4975974	Neutrophils from hematoma of ICH patient number 2375 on day 4 of study - replicate 2	ICHseqBatch2g_A10	Neutrophil	Hematoma	2375	4	2	Neutrophil|Hematoma|2375|4
ICHseqBatch2g_A12	GSM4975967	Neutrophils from blood of ICH patient number 2375 on day 3 of study - replicate 1	ICHseqBatch2g_A12	Neutrophil	ICHBlood	2375	3	1	Neutrophil|ICHBlood|2375|3
ICHseqBatch2g_B06	GSM4976085	Neutrophils from hematoma of ICH patient number 2421 on day 2 of study - replicate 1	ICHseqBatch2g_B06	Neutrophil	Hematoma	2421	2	1	Neutrophil|Hematoma|2421|2
ICHseqBatch2g_C04	GSM4976091	Neutrophils from blood of ICH patient number 2421 on day 4 of study - replicate 1	ICHseqBatch2g_C04	Neutrophil	ICHBlood	2421	4	1	Neutrophil|ICHBlood|2421|4
