gene	logFC_discovery	FDR_discovery	logFC_validation	FDR_validation	concordant	max_FDR_across_cohorts
LRRC59	0.530485597648533	0.702787779618032	0.384290424996044	0.00000217915646438379	TRUE	0.702787779618032
LRRC61	-0.0513102655719413	0.938842169878837	-2.9820320278257	0.0000000000000000141994309646707	TRUE	0.938842169878837
LRRC70	0.403412701564423	0.73569846377076	0.546966568159927	0.0430547554571374	TRUE	0.73569846377076
LRRC8A	-0.257007176575042	0.819143230545299	0.365835084444899	0.0957446561548406	FALSE	0.819143230545299
LRRC8B	-0.153674449402228	0.961500793330562	-0.336273986554187	0.138290376273434	TRUE	0.961500793330562
LRRC8C	1.46739843783445	0.205954538436366	0.0164172198813164	0.920386301144308	TRUE	0.920386301144308
LRRC8D	-0.0645548566006884	0.971635621732661	-1.38131420540725	0.000000000640624528603925	TRUE	0.971635621732661
LRRCC1	0.385736645653589	0.762841258078273	-0.781816902483878	0.000661806524348219	FALSE	0.762841258078273
LRRFIP1	1.66843641835819	0.282283709467208	-0.461346058691777	0.00000000000185374038810422	FALSE	0.282283709467208
LRRFIP2	1.06866918608945	0.343528098454579	-0.803512178015992	0.0000000000000000189712086481407	FALSE	0.343528098454579
LRRK1	-0.116106678480167	0.909235756993245	-0.65612775662574	0.00391078534429198	TRUE	0.909235756993245
LRRK2	-0.980579612353698	0.554993701104215	-1.8264779104462	0.000000000000000000000000000000000000000000000000023626814755825	TRUE	0.554993701104215
LRRN1	-0.476730851974097	0.853015314906518	-1.50996325374284	0.00000126815862267753	TRUE	0.853015314906518
LRRN4CL	0.336158788230278	0.494304846245316	0.445356401333034	0.000386673048588439	TRUE	0.494304846245316
LRSAM1	-0.323684470697108	0.635873957119839	-1.21453055117426	0.00000000000000000602017980035287	TRUE	0.635873957119839
LRTOMT	0.150346139068627	0.853687025910753	0.345107322805176	0.00000377266161017336	TRUE	0.853687025910753
LRWD1	0.294350152705247	0.723030643669488	-0.133614370924739	0.452251930693652	FALSE	0.723030643669488
LSG1	0.168681286585076	0.929001857567779	0.827865654028717	0.000000940277956830543	TRUE	0.929001857567779
LSM1	0.177502597139479	0.844687505104911	-0.114501197790584	0.42417611707789	FALSE	0.844687505104911
LSM10	0.558118844802269	0.35999180235236	0.0100650052010058	0.899349363611991	TRUE	0.899349363611991
LSM12	0.539240977206675	0.634607278535327	0.604943221968183	0.0000000000000000000000000500502544045838	TRUE	0.634607278535327
LSM14A	-0.377861243639011	0.625507588475628	-0.0821154405441469	0.141051908473432	TRUE	0.625507588475628
LSM14B	0.0108952535617433	0.993928497051545	-0.708168039795208	0.000388499025898508	FALSE	0.993928497051545
LSM2	0.430019842198625	0.671549474421564	-0.580972889665007	0.00102450329387074	FALSE	0.671549474421564
LSM3	-0.394423451493535	0.525882529272988	0.470210968106833	0.000000135764802567913	FALSE	0.525882529272988
LSM4	0.511867743085852	0.624780066907431	0.0486689816601649	0.722709712178154	TRUE	0.722709712178154
LSM5	-0.13446715726308	0.913856054619095	0.167991617400888	0.264675443868938	FALSE	0.913856054619095
LSM6	-0.340349062520049	0.735626957003171	-1.17722673211938	0.000000000666882558054596	TRUE	0.735626957003171
LSM7	0.629494090104695	0.544738789980064	0.848851294535588	0.000000594823455421513	TRUE	0.544738789980064
LSP1	0.184614887174956	0.737930624578488	-0.160792186911193	0.00666274406624161	FALSE	0.737930624578488
LSS	-0.0684369797381859	0.976409954135974	-1.16718163138966	0.0000000161577075701991	TRUE	0.976409954135974
LST1	0.550385444638403	0.477019607117473	-0.745464827292986	0.000000000000000247944796552785	FALSE	0.477019607117473
LTA4H	0.211555609021013	0.832974707843762	-0.245770973360795	0.0524336213824496	FALSE	0.832974707843762
LTB	0.749311476211912	0.512823853412742	-1.86253707067169	0.00000000000000000000000000218924530858408	FALSE	0.512823853412742
LTB4R	0.0296169864652156	0.975662533988849	-0.796820688660563	0.0000000000352389193155677	FALSE	0.975662533988849
LTB4R2	0.259333075570909	0.502479002058726	-0.873746772846105	0.0000117787554697613	FALSE	0.502479002058726
LTBP2	0.494366472463651	0.520390370665597	2.09641769764361	0.000000000195073724023819	TRUE	0.520390370665597
LTBP3	-0.850017941066136	0.507752444815049	0.228822300562031	0.376469153155036	FALSE	0.507752444815049
LTBP4	-0.124789592225342	0.776465757586843	-0.103472282079797	0.725678192959747	TRUE	0.776465757586843
LTBR	0.106178683180571	0.84154009103834	-0.134434059269672	0.0423348581808524	FALSE	0.84154009103834
LTF	0.0653853062096319	0.984333369254758	0.859476069896425	0.00134493326840804	TRUE	0.984333369254758
LTN1	0.371467394710217	0.853524077961692	0.514758788463477	0.00000774541676604044	TRUE	0.853524077961692
LTV1	0.85506155413998	0.480875202304137	0.473838846309888	0.00281873263404756	TRUE	0.480875202304137
LUC7L	-0.0581221520265114	0.976125817830179	0.877464948133421	0.00000000332177666204178	FALSE	0.976125817830179
LUC7L2	-0.462250104202569	0.579110082049798	0.371694608502464	0.0119250760867416	FALSE	0.579110082049798
LUC7L3	-0.446656341956842	0.822488311324625	-0.266398825921194	0.00380017207783104	TRUE	0.822488311324625
LURAP1	0.410156724261217	0.662317113904548	0.291430614720925	0.101677415856698	TRUE	0.662317113904548
LUZP1	0.0489594365826838	0.992135141963832	0.894045850390892	0.000000838182433666732	TRUE	0.992135141963832
LUZP6	0.311660034114331	0.844095919603941	0.133450979588208	0.016120172456322	TRUE	0.844095919603941
LXN	0.637616053669044	0.539805617688056	-2.30454405128071	0.000000000000000000466932403090637	FALSE	0.539805617688056
LY6E	-0.355937180944118	0.710129018949154	-0.558997381910743	0.0250286621992881	TRUE	0.710129018949154
LY6G5B	0.290883267002626	0.392333549862058	0.611301659450886	0.000507807459804116	TRUE	0.392333549862058
LY6G5C	-0.0889528401627318	0.828757070258934	-0.520352438459638	0.0176442107348669	TRUE	0.828757070258934
LY75	0.788798827883602	0.548327682543768	-0.366795395959252	0.14408864724456	FALSE	0.548327682543768
LY75-CD302	0.0283300778429778	0.993400588995506	-1.87455460702501	0.00000104953147707158	FALSE	0.993400588995506
LY86	0.295090387774769	0.868228139762569	-0.932636123564269	0.00000000000000000120552117391189	FALSE	0.868228139762569
LY96	1.10597190518412	0.603764247185516	-0.299155919379726	0.0126771303669458	FALSE	0.603764247185516
LYAR	0.530586460764993	0.727329564730878	-0.273434815032678	0.164124055823769	FALSE	0.727329564730878
